home_team,away_team,fair_spread_home,p_home_win,p_home_covers,fair_total
BYU,Portland State,51.024597347034685,0.9898331761360168,0.6802172859509786,64.107834
Southern Utah,Idaho State,2.7871015426180072,0.6651473244031271,0.4545423090457916,61.19874
SMU,East Texas A&M,52.61258557580217,0.9965899387995402,0.5494106014569601,66.02998
New Mexico State,Bryant,23.738535021411145,0.9836050669352213,0.6112463772296906,52.42761
Fresno State,Georgia Southern,0.5507534480098035,0.6457931995391846,0.4587760865688324,50.946568
Arizona State,Northern Arizona,31.704328727747015,0.9898331761360168,0.5452312429745992,54.48188
Utah Tech,UC Davis,-19.660194954560854,0.09235033144553502,0.46917401750882465,55.633617
Washington State,Idaho,20.82002463203539,0.9859421253204346,0.6069332957267761,51.406384
Oregon State,California,-5.899908232724382,0.3229336490233739,0.40406057238578796,49.40093
Arizona,Hawai'i,19.02735468109734,0.9367449283599854,0.6069332957267761,55.749058
UCLA,Utah,-10.84144480825664,0.03586426159987847,0.35875557859738666,49.969013
Washington,Colorado State,26.514253289536814,0.9898331761360168,0.6310068170229594,53.04437
South Carolina,Virginia Tech,6.95173366634206,0.7479391892751058,0.48438066244125366,51.290985
Virginia Union,Miles College,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Tuskegee,Winston-Salem,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Miami,Notre Dame,-4.13111386459316,0.3913751145203908,0.4567039906978607,51.312584
North Carolina,TCU,-4.50550229395274,0.15878369410832724,0.46917401750882465,55.800045
